date,time,road,volume
13,21,3500007500-3500006700,995
13,22,3500007500-3500006700,875
13,20,3500059000-3500007500,737
13,21,3500059000-3500007500,585
13,22,3500059000-3500007500,386
13,20,3500007500-3500059000,756
13,21,3500007500-3500059000,719
13,22,3500007500-3500059000,652
13,20,3510000500-3510000400,1970
13,21,3510000500-3510000400,1816
13,22,3510000500-3510000400,1297
13,20,3510000400-3510000500,1885
13,21,3510000400-3510000500,1678
13,22,3510000400-3510000500,1415
13,20,3510000450-3510000400,1948
13,21,3510000450-3510000400,1755
13,22,3510000450-3510000400,1532
13,20,3510000400-3510000450,1943
13,21,3510000400-3510000450,1764
13,22,3510000400-3510000450,1304
14,20,3500007900-3500007500,1125
14,21,3500007900-3500007500,1189
14,22,3500007900-3500007500,917
14,20,3500007500-3500007900,942
14,21,3500007500-3500007900,863
14,22,3500007500-3500007900,676
14,20,3500006700-3500007500,796
14,21,3500006700-3500007500,728
14,22,3500006700-3500007500,597
14,20,3500007500-3500006700,951
14,21,3500007500-3500006700,941
14,22,3500007500-3500006700,788
14,20,3500059000-3500007500,625
14,21,3500059000-3500007500,605
14,22,3500059000-3500007500,383
14,20,3500007500-3500059000,744
14,21,3500007500-3500059000,616
14,22,3500007500-3500059000,538
14,20,3510000500-3510000400,1685
14,21,3510000500-3510000400,1480
14,22,3510000500-3510000400,1137
14,20,3510000400-3510000500,1599
14,21,3510000400-3510000500,1532
14,22,3510000400-3510000500,1282
14,20,3510000450-3510000400,1656
14,21,3510000450-3510000400,1575
14,22,3510000450-3510000400,1409
14,20,3510000400-3510000450,1709
14,21,3510000400-3510000450,1485
14,22,3510000400-3510000450,1141
15,20,3500007900-3500007500,1236
15,21,3500007900-3500007500,1220
15,22,3500007900-3500007500,743
15,20,3500007500-3500007900,1033
15,21,3500007500-3500007900,976
15,22,3500007500-3500007900,529
15,20,3500006700-3500007500,864
15,21,3500006700-3500007500,884
15,22,3500006700-3500007500,510
15,20,3500007500-3500006700,1113
15,21,3500007500-3500006700,1139
15,22,3500007500-3500006700,700
15,20,3500059000-3500007500,773
15,21,3500059000-3500007500,786
15,22,3500059000-3500007500,256
15,20,3500007500-3500059000,1222
15,21,3500007500-3500059000,1238
15,22,3500007500-3500059000,689
15,20,3510000500-3510000400,1863
15,21,3510000500-3510000400,1727
15,22,3510000500-3510000400,893
15,20,3510000400-3510000500,2225
15,21,3510000400-3510000500,2102
15,22,3510000400-3510000500,1380
15,20,3510000450-3510000400,2214
15,21,3510000450-3510000400,2109
15,22,3510000450-3510000400,1571
15,20,3510000400-3510000450,1845
15,21,3510000400-3510000450,1701
15,22,3510000400-3510000450,900
16,20,3500007900-3500007500,1335
16,21,3500007900-3500007500,1343
16,22,3500007900-3500007500,1010
16,20,3500007500-3500007900,1042
16,21,3500007500-3500007900,1023
16,22,3500007500-3500007900,699
16,20,3500006700-3500007500,898
16,21,3500006700-3500007500,912
16,22,3500006700-3500007500,613
16,20,3500007500-3500006700,1186
16,21,3500007500-3500006700,1177
16,22,3500007500-3500006700,846
16,20,3500059000-3500007500,838
16,21,3500059000-3500007500,823
16,22,3500059000-3500007500,482
16,20,3500007500-3500059000,1122
16,21,3500007500-3500059000,1239
16,22,3500007500-3500059000,796
16,20,3510000500-3510000400,2000
16,21,3510000500-3510000400,1879
16,22,3510000500-3510000400,1237
16,20,3510000400-3510000500,2289
16,21,3510000400-3510000500,2174
16,22,3510000400-3510000500,1603
16,20,3510000450-3510000400,2266
16,21,3510000450-3510000400,2134
16,22,3510000450-3510000400,1680
16,20,3510000400-3510000450,1991
16,21,3510000400-3510000450,1846
16,22,3510000400-3510000450,1241
17,20,3500007900-3500007500,1414
17,21,3500007900-3500007500,1308
17,22,3500007900-3500007500,1004
17,20,3500007500-3500007900,1113
17,21,3500007500-3500007900,1012
17,22,3500007500-3500007900,730
17,20,3500006700-3500007500,951
17,21,3500006700-3500007500,903
17,22,3500006700-3500007500,623
17,20,3500007500-3500006700,1236
17,21,3500007500-3500006700,1169
17,22,3500007500-3500006700,851
17,20,3500059000-3500007500,880
17,21,3500059000-3500007500,880
17,22,3500059000-3500007500,448
17,20,3500007500-3500059000,1278
17,21,3500007500-3500059000,1286
17,22,3500007500-3500059000,766
17,20,3510000500-3510000400,2004
17,21,3510000500-3510000400,1815
17,22,3510000500-3510000400,1220
17,20,3510000400-3510000500,2310
17,21,3510000400-3510000500,2144
17,22,3510000400-3510000500,1661
17,20,3510000450-3510000400,2272
17,21,3510000450-3510000400,2118
17,22,3510000450-3510000400,1754
17,20,3510000400-3510000450,2031
17,21,3510000400-3510000450,1824
17,22,3510000400-3510000450,1228
18,20,3500007900-3500007500,1356
18,21,3500007900-3500007500,1333
18,22,3500007900-3500007500,1004
18,20,3500007500-3500007900,1068
18,21,3500007500-3500007900,1036
18,22,3500007500-3500007900,754
18,20,3500006700-3500007500,906
18,21,3500006700-3500007500,938
18,22,3500006700-3500007500,627
18,20,3500007500-3500006700,1201
18,21,3500007500-3500006700,1187
18,22,3500007500-3500006700,867
18,20,3500059000-3500007500,850
18,21,3500059000-3500007500,825
18,22,3500059000-3500007500,454
18,20,3500007500-3500059000,1207
18,21,3500007500-3500059000,1275
18,22,3500007500-3500059000,746
18,20,3510000500-3510000400,1990
18,21,3510000500-3510000400,1894
18,22,3510000500-3510000400,1227
18,20,3510000400-3510000500,2319
18,21,3510000400-3510000500,2125
18,22,3510000400-3510000500,1529
18,20,3510000450-3510000400,2280
18,21,3510000450-3510000400,2102
18,22,3510000450-3510000400,1642
18,20,3510000400-3510000450,1956
18,21,3510000400-3510000450,1862
18,22,3510000400-3510000450,1250
19,20,3500007900-3500007500,1455
19,21,3500007900-3500007500,1461
19,22,3500007900-3500007500,1125
19,20,3500007500-3500007900,1078
19,21,3500007500-3500007900,1142
19,22,3500007500-3500007900,864
19,20,3500006700-3500007500,953
19,21,3500006700-3500007500,1006
19,22,3500006700-3500007500,731
19,20,3500007500-3500006700,1295
19,21,3500007500-3500006700,1293
19,22,3500007500-3500006700,949
19,20,3500059000-3500007500,894
19,21,3500059000-3500007500,884
19,22,3500059000-3500007500,499
19,20,3500007500-3500059000,1338
19,21,3500007500-3500059000,1236
19,22,3500007500-3500059000,803
19,20,3510000500-3510000400,2001
19,21,3510000500-3510000400,1976
19,22,3510000500-3510000400,1422
19,20,3510000400-3510000500,2399
19,21,3510000400-3510000500,2232
19,22,3510000400-3510000500,1692
