date,time,road,speed
27,19,3500007900-3500007500,29
28,17,3500008000-3500007900,28
28,18,3500008000-3500007900,29
28,19,3500008000-3500007900,28
28,17,3500007900-3500007500,28
28,18,3500007900-3500007500,29
28,19,3500007900-3500007500,28
29,17,3500008000-3500007900,27
29,18,3500008000-3500007900,24
29,19,3500008000-3500007900,32
29,17,3500007900-3500007500,27
29,18,3500007900-3500007500,24
29,19,3500007900-3500007500,32
30,17,3500008000-3500007900,21
30,18,3500008000-3500007900,19
30,19,3500008000-3500007900,29
30,17,3500007900-3500007500,21
30,18,3500007900-3500007500,19
30,19,3500007900-3500007500,29
1,17,3510000300-3510000250,28
1,18,3510000300-3510000250,27
1,19,3510000300-3510000250,31
1,17,3510000250-3510000200,28
1,18,3510000250-3510000200,27
1,19,3510000250-3510000200,31
3,17,3510000300-3510000250,27
3,18,3510000300-3510000250,27
3,19,3510000300-3510000250,32
3,17,3510000250-3510000200,27
3,18,3510000250-3510000200,27
3,19,3510000250-3510000200,32
4,17,3510000300-3510000250,26
4,18,3510000300-3510000250,25
4,19,3510000300-3510000250,31
4,17,3510000250-3510000200,26
4,18,3510000250-3510000200,25
4,19,3510000250-3510000200,31
5,17,3510000300-3510000250,25
5,18,3510000300-3510000250,26
5,19,3510000300-3510000250,29
5,17,3510000250-3510000200,25
5,18,3510000250-3510000200,26
5,19,3510000250-3510000200,29
6,17,3510000300-3510000250,29
6,18,3510000300-3510000250,30
6,19,3510000300-3510000250,31
6,17,3510000250-3510000200,29
6,18,3510000250-3510000200,30
6,19,3510000250-3510000200,31
7,17,3510000300-3510000250,28
7,18,3510000300-3510000250,29
