date,time,road,speed
7,22,3500007500-3500007900,45
7,20,3500007900-3500008000,35
7,21,3500007900-3500008000,37
7,22,3500007900-3500008000,45
8,20,3500007500-3500007900,39
8,21,3500007500-3500007900,39
8,22,3500007500-3500007900,47
8,20,3500007900-3500008000,39
8,21,3500007900-3500008000,39
8,22,3500007900-3500008000,47
9,20,3500007500-3500007900,38
9,21,3500007500-3500007900,40
9,22,3500007500-3500007900,49
9,20,3500007900-3500008000,38
9,21,3500007900-3500008000,40
9,22,3500007900-3500008000,49
10,20,3500007500-3500007900,40
10,21,3500007500-3500007900,44
10,22,3500007500-3500007900,50
10,20,3500007900-3500008000,40
10,21,3500007900-3500008000,44
10,22,3500007900-3500008000,50
11,20,3500007500-3500007900,39
11,21,3500007500-3500007900,43
11,22,3500007500-3500007900,52
11,20,3500007900-3500008000,39
11,21,3500007900-3500008000,43
11,22,3500007900-3500008000,52
12,20,3500007500-3500007900,36
12,21,3500007500-3500007900,42
12,22,3500007500-3500007900,50
12,20,3500007900-3500008000,36
12,21,3500007900-3500008000,42
12,22,3500007900-3500008000,50
13,20,3500007500-3500007900,42
13,21,3500007500-3500007900,46
13,22,3500007500-3500007900,56
13,20,3500007900-3500008000,42
13,21,3500007900-3500008000,46
13,22,3500007900-3500008000,56
14,20,3500007500-3500007900,35
14,21,3500007500-3500007900,36
14,22,3500007500-3500007900,50
14,20,3500007900-3500008000,35
14,21,3500007900-3500008000,36
14,22,3500007900-3500008000,50
15,20,3500007500-3500007900,40
15,21,3500007500-3500007900,42
15,22,3500007500-3500007900,49
15,20,3500007900-3500008000,40
15,21,3500007900-3500008000,42
15,22,3500007900-3500008000,49
16,20,3500007500-3500007900,37
16,21,3500007500-3500007900,39
16,22,3500007500-3500007900,49
16,20,3500007900-3500008000,37
16,21,3500007900-3500008000,39
16,22,3500007900-3500008000,49
17,20,3500007500-3500007900,40
17,21,3500007500-3500007900,41
17,22,3500007500-3500007900,50
17,20,3500007900-3500008000,40
17,21,3500007900-3500008000,41
17,22,3500007900-3500008000,50
18,20,3500007500-3500007900,40
18,21,3500007500-3500007900,40
18,22,3500007500-3500007900,52
18,20,3500007900-3500008000,40
18,21,3500007900-3500008000,40
18,22,3500007900-3500008000,52
19,20,3500007500-3500007900,40
19,21,3500007500-3500007900,42
19,22,3500007500-3500007900,54
19,20,3500007900-3500008000,40
19,21,3500007900-3500008000,42
19,22,3500007900-3500008000,54
20,20,3500007500-3500007900,39
20,21,3500007500-3500007900,46
20,22,3500007500-3500007900,53
20,20,3500007900-3500008000,39
20,21,3500007900-3500008000,46
20,22,3500007900-3500008000,53
21,20,3500007500-3500007900,36
21,21,3500007500-3500007900,43
21,22,3500007500-3500007900,55
21,20,3500007900-3500008000,36
21,21,3500007900-3500008000,43
21,22,3500007900-3500008000,55
22,20,3500007500-3500007900,39
22,21,3500007500-3500007900,45
22,22,3500007500-3500007900,58
22,20,3500007900-3500008000,39
22,21,3500007900-3500008000,45
22,22,3500007900-3500008000,58
23,20,3500007500-3500007900,41
23,21,3500007500-3500007900,42
23,22,3500007500-3500007900,54
23,20,3500007900-3500008000,41
23,21,3500007900-3500008000,42
23,22,3500007900-3500008000,54
25,20,3500007500-3500007900,41
25,21,3500007500-3500007900,46
25,22,3500007500-3500007900,57
25,20,3500007900-3500008000,41
25,21,3500007900-3500008000,46
25,22,3500007900-3500008000,57
26,20,3500007500-3500007900,44
26,21,3500007500-3500007900,45
26,22,3500007500-3500007900,59
26,20,3500007900-3500008000,44
26,21,3500007900-3500008000,45
26,22,3500007900-3500008000,59
27,20,3500007500-3500007900,41
27,21,3500007500-3500007900,43
27,22,3500007500-3500007900,55
27,20,3500007900-3500008000,41
27,21,3500007900-3500008000,43
27,22,3500007900-3500008000,55
28,20,3500007500-3500007900,38
28,21,3500007500-3500007900,42
28,22,3500007500-3500007900,60
28,20,3500007900-3500008000,38
28,21,3500007900-3500008000,42
28,22,3500007900-3500008000,60
29,20,3500007500-3500007900,36
29,21,3500007500-3500007900,41
29,22,3500007500-3500007900,47
29,20,3500007900-3500008000,36
29,21,3500007900-3500008000,41
29,22,3500007900-3500008000,47
30,20,3500007500-3500007900,38
30,21,3500007500-3500007900,44
30,22,3500007500-3500007900,54
30,20,3500007900-3500008000,38
30,21,3500007900-3500008000,44
30,22,3500007900-3500008000,54
1,20,3510000200-3510000250,37
1,21,3510000200-3510000250,38
1,22,3510000200-3510000250,44
1,20,3510000250-3510000300,37
1,21,3510000250-3510000300,38
1,22,3510000250-3510000300,44
3,20,3510000200-3510000250,37
3,21,3510000200-3510000250,42
3,22,3510000200-3510000250,47
3,20,3510000250-3510000300,37
3,21,3510000250-3510000300,42
3,22,3510000250-3510000300,47
4,20,3510000200-3510000250,35
4,21,3510000200-3510000250,37
4,22,3510000200-3510000250,46
4,20,3510000250-3510000300,35
4,21,3510000250-3510000300,37
4,22,3510000250-3510000300,46
5,20,3510000200-3510000250,36
5,21,3510000200-3510000250,40
5,22,3510000200-3510000250,43
5,20,3510000250-3510000300,36
5,21,3510000250-3510000300,40
5,22,3510000250-3510000300,43
6,20,3510000200-3510000250,36
6,21,3510000200-3510000250,38
6,22,3510000200-3510000250,44
6,20,3510000250-3510000300,36
6,21,3510000250-3510000300,38
6,22,3510000250-3510000300,44
7,20,3510000200-3510000250,35
7,21,3510000200-3510000250,37
7,22,3510000200-3510000250,45
7,20,3510000250-3510000300,35
7,21,3510000250-3510000300,37
7,22,3510000250-3510000300,45
8,20,3510000200-3510000250,39
8,21,3510000200-3510000250,39
8,22,3510000200-3510000250,47
8,20,3510000250-3510000300,39
8,21,3510000250-3510000300,39
8,22,3510000250-3510000300,47
9,20,3510000200-3510000250,38
9,21,3510000200-3510000250,40
9,22,3510000200-3510000250,49
9,20,3510000250-3510000300,38
9,21,3510000250-3510000300,40
9,22,3510000250-3510000300,49
10,20,3510000200-3510000250,40
10,21,3510000200-3510000250,44
10,22,3510000200-3510000250,50
10,20,3510000250-3510000300,40
10,21,3510000250-3510000300,44
10,22,3510000250-3510000300,50
11,20,3510000200-3510000250,39
11,21,3510000200-3510000250,43
11,22,3510000200-3510000250,52
11,20,3510000250-3510000300,39
11,21,3510000250-3510000300,43
11,22,3510000250-3510000300,52
12,20,3510000200-3510000250,36
12,21,3510000200-3510000250,42
12,22,3510000200-3510000250,50
12,20,3510000250-3510000300,36
12,21,3510000250-3510000300,42
12,22,3510000250-3510000300,50
13,20,3510000200-3510000250,42
13,21,3510000200-3510000250,46
13,22,3510000200-3510000250,56
13,20,3510000250-3510000300,42
13,21,3510000250-3510000300,46
13,22,3510000250-3510000300,56
14,20,3510000200-3510000250,35
14,21,3510000200-3510000250,36
14,22,3510000200-3510000250,50
14,20,3510000250-3510000300,35
14,21,3510000250-3510000300,36
14,22,3510000250-3510000300,50
15,20,3510000200-3510000250,40
15,21,3510000200-3510000250,42
15,22,3510000200-3510000250,49
15,20,3510000250-3510000300,40
15,21,3510000250-3510000300,42
15,22,3510000250-3510000300,49
16,20,3510000200-3510000250,37
16,21,3510000200-3510000250,39
16,22,3510000200-3510000250,49
16,20,3510000250-3510000300,37
16,21,3510000250-3510000300,39
16,22,3510000250-3510000300,49
17,20,3510000200-3510000250,40
17,21,3510000200-3510000250,41
17,22,3510000200-3510000250,50
17,20,3510000250-3510000300,40
17,21,3510000250-3510000300,41
17,22,3510000250-3510000300,50
18,20,3510000200-3510000250,40
18,21,3510000200-3510000250,40
18,22,3510000200-3510000250,52
18,20,3510000250-3510000300,40
18,21,3510000250-3510000300,40
18,22,3510000250-3510000300,52
19,20,3510000200-3510000250,40
19,21,3510000200-3510000250,42
19,22,3510000200-3510000250,54
19,20,3510000250-3510000300,40
19,21,3510000250-3510000300,42
19,22,3510000250-3510000300,54
20,20,3510000200-3510000250,39
20,21,3510000200-3510000250,46
20,22,3510000200-3510000250,51
20,20,3510000250-3510000300,39
20,21,3510000250-3510000300,46
20,22,3510000250-3510000300,51
21,20,3510000200-3510000250,36
21,21,3510000200-3510000250,43
21,22,3510000200-3510000250,55
21,20,3510000250-3510000300,36
21,21,3510000250-3510000300,43
21,22,3510000250-3510000300,55
22,20,3510000200-3510000250,39
22,21,3510000200-3510000250,45
22,22,3510000200-3510000250,58
22,20,3510000250-3510000300,39
22,21,3510000250-3510000300,45
22,22,3510000250-3510000300,58
23,20,3510000200-3510000250,41
23,21,3510000200-3510000250,42
23,22,3510000200-3510000250,54
23,20,3510000250-3510000300,41
23,21,3510000250-3510000300,42
23,22,3510000250-3510000300,54
25,20,3510000200-3510000250,41
25,21,3510000200-3510000250,46
25,22,3510000200-3510000250,57
25,20,3510000250-3510000300,41
25,21,3510000250-3510000300,46
25,22,3510000250-3510000300,57
26,20,3510000200-3510000250,44
26,21,3510000200-3510000250,45
26,22,3510000200-3510000250,59
26,20,3510000250-3510000300,44
26,21,3510000250-3510000300,45
26,22,3510000250-3510000300,59
27,20,3510000200-3510000250,41
27,21,3510000200-3510000250,43
27,22,3510000200-3510000250,55
27,20,3510000250-3510000300,41
27,21,3510000250-3510000300,43
27,22,3510000250-3510000300,55
28,20,3510000200-3510000250,38
28,21,3510000200-3510000250,42
28,22,3510000200-3510000250,60
28,20,3510000250-3510000300,38
28,21,3510000250-3510000300,42
28,22,3510000250-3510000300,60
29,20,3510000200-3510000250,36
29,21,3510000200-3510000250,41
29,22,3510000200-3510000250,47
29,20,3510000250-3510000300,36
29,21,3510000250-3510000300,41
29,22,3510000250-3510000300,47
30,20,3510000200-3510000250,38
30,21,3510000200-3510000250,44
30,22,3510000200-3510000250,54
30,20,3510000250-3510000300,38
30,21,3510000250-3510000300,44
30,22,3510000250-3510000300,54
1,20,3500008000-3500007900,39
1,21,3500008000-3500007900,44
1,22,3500008000-3500007900,46
1,20,3500007900-3500007500,39
1,21,3500007900-3500007500,44
1,22,3500007900-3500007500,46
3,20,3500008000-3500007900,37
3,21,3500008000-3500007900,40
3,22,3500008000-3500007900,44
3,20,3500007900-3500007500,37
3,21,3500007900-3500007500,40
3,22,3500007900-3500007500,44
4,20,3500008000-3500007900,37
4,21,3500008000-3500007900,39
4,22,3500008000-3500007900,43
4,20,3500007900-3500007500,37
4,21,3500007900-3500007500,39
4,22,3500007900-3500007500,43
5,20,3500008000-3500007900,38
5,21,3500008000-3500007900,40
5,22,3500008000-3500007900,44
5,20,3500007900-3500007500,38
5,21,3500007900-3500007500,40
5,22,3500007900-3500007500,44
6,20,3500008000-3500007900,33
6,21,3500008000-3500007900,41
