date,time,road,volume
3,2,3500007500-3500007400,39
3,3,3500007500-3500007400,31
3,4,3500007500-3500007400,76
3,5,3500007500-3500007400,301
3,6,3500007500-3500007400,1085
3,7,3500007500-3500007400,1080
3,8,3500007500-3500007400,1240
3,9,3500007500-3500007400,899
3,10,3500007500-3500007400,788
3,11,3500007500-3500007400,775
3,12,3500007500-3500007400,747
3,13,3500007500-3500007400,829
3,14,3500007500-3500007400,745
3,15,3500007500-3500007400,718
3,16,3500007500-3500007400,752
3,17,3500007500-3500007400,877
3,18,3500007500-3500007400,899
3,19,3500007500-3500007400,432
3,20,3500007500-3500007400,364
3,21,3500007500-3500007400,305
3,22,3500007500-3500007400,226
3,23,3500007500-3500007400,0
3,0,3500007400-3500007100,106
3,1,3500007400-3500007100,56
3,2,3500007400-3500007100,39
3,3,3500007400-3500007100,31
3,4,3500007400-3500007100,76
3,5,3500007400-3500007100,301
3,6,3500007400-3500007100,1085
3,7,3500007400-3500007100,1080
3,8,3500007400-3500007100,1240
3,9,3500007400-3500007100,899
3,10,3500007400-3500007100,788
3,11,3500007400-3500007100,775
3,12,3500007400-3500007100,747
3,13,3500007400-3500007100,829
3,14,3500007400-3500007100,745
3,15,3500007400-3500007100,718
3,16,3500007400-3500007100,752
3,17,3500007400-3500007100,877
3,18,3500007400-3500007100,899
3,19,3500007400-3500007100,432
3,20,3500007400-3500007100,364
3,21,3500007400-3500007100,305
3,22,3500007400-3500007100,226
3,23,3500007400-3500007100,0
3,0,3500007100-3500007400,51
3,1,3500007100-3500007400,33
3,2,3500007100-3500007400,26
3,3,3500007100-3500007400,16
3,4,3500007100-3500007400,20
3,5,3500007100-3500007400,43
3,6,3500007100-3500007400,215
3,7,3500007100-3500007400,573
3,8,3500007100-3500007400,692
3,9,3500007100-3500007400,725
3,10,3500007100-3500007400,740
3,11,3500007100-3500007400,826
3,12,3500007100-3500007400,810
3,13,3500007100-3500007400,729
3,14,3500007100-3500007400,649
3,15,3500007100-3500007400,909
3,16,3500007100-3500007400,1021
3,17,3500007100-3500007400,1338
3,18,3500007100-3500007400,835
3,19,3500007100-3500007400,295
3,20,3500007100-3500007400,290
3,21,3500007100-3500007400,267
3,22,3500007100-3500007400,198
3,23,3500007100-3500007400,0
3,0,3500007400-3500007500,51
3,1,3500007400-3500007500,33
3,2,3500007400-3500007500,26
3,3,3500007400-3500007500,16
3,4,3500007400-3500007500,20
3,5,3500007400-3500007500,43
3,6,3500007400-3500007500,215
3,7,3500007400-3500007500,573
3,8,3500007400-3500007500,692
3,9,3500007400-3500007500,725
3,10,3500007400-3500007500,740
3,11,3500007400-3500007500,826
3,12,3500007400-3500007500,810
3,13,3500007400-3500007500,729
3,14,3500007400-3500007500,649
3,15,3500007400-3500007500,909
3,16,3500007400-3500007500,1021
3,17,3500007400-3500007500,1338
3,18,3500007400-3500007500,835
3,19,3500007400-3500007500,295
3,20,3500007400-3500007500,290
3,21,3500007400-3500007500,267
3,22,3500007400-3500007500,198
3,23,3500007400-3500007500,0
3,0,3500006900-3500007100,19
3,1,3500006900-3500007100,23
3,2,3500006900-3500007100,13
3,3,3500006900-3500007100,3
3,4,3500006900-3500007100,19
3,5,3500006900-3500007100,24
3,6,3500006900-3500007100,159
3,7,3500006900-3500007100,524
3,8,3500006900-3500007100,499
3,9,3500006900-3500007100,611
3,10,3500006900-3500007100,615
3,11,3500006900-3500007100,642
3,12,3500006900-3500007100,616
3,13,3500006900-3500007100,578
3,14,3500006900-3500007100,438
3,15,3500006900-3500007100,716
3,16,3500006900-3500007100,821
3,17,3500006900-3500007100,1092
3,18,3500006900-3500007100,631
3,19,3500006900-3500007100,232
3,20,3500006900-3500007100,187
3,21,3500006900-3500007100,178
3,22,3500006900-3500007100,157
3,23,3500006900-3500007100,0
3,0,3500007100-3500006900,80
3,1,3500007100-3500006900,59
3,2,3500007100-3500006900,34
3,3,3500007100-3500006900,30
3,4,3500007100-3500006900,74
3,5,3500007100-3500006900,311
3,6,3500007100-3500006900,1388
3,7,3500007100-3500006900,1473
3,8,3500007100-3500006900,1228
3,9,3500007100-3500006900,952
3,10,3500007100-3500006900,774
3,11,3500007100-3500006900,664
3,12,3500007100-3500006900,692
3,13,3500007100-3500006900,861
3,14,3500007100-3500006900,713
3,15,3500007100-3500006900,664
3,16,3500007100-3500006900,672
3,17,3500007100-3500006900,762
3,18,3500007100-3500006900,707
3,19,3500007100-3500006900,309
3,20,3500007100-3500006900,317
3,21,3500007100-3500006900,314
3,22,3500007100-3500006900,227
3,23,3500007100-3500006900,0
3,0,3500058900-3500007100,105
3,1,3500058900-3500007100,65
3,2,3500058900-3500007100,57
3,3,3500058900-3500007100,26
3,4,3500058900-3500007100,6
3,5,3500058900-3500007100,79
3,6,3500058900-3500007100,587
3,7,3500058900-3500007100,774
3,8,3500058900-3500007100,725
3,9,3500058900-3500007100,680
3,10,3500058900-3500007100,648
3,11,3500058900-3500007100,670
3,12,3500058900-3500007100,654
3,13,3500058900-3500007100,723
3,14,3500058900-3500007100,668
3,15,3500058900-3500007100,637
3,16,3500058900-3500007100,683
3,17,3500058900-3500007100,636
3,18,3500058900-3500007100,441
3,19,3500058900-3500007100,196
3,20,3500058900-3500007100,291
3,21,3500058900-3500007100,330
3,22,3500058900-3500007100,252
3,23,3500058900-3500007100,0
3,0,3500007100-3500058900,109
3,1,3500007100-3500058900,84
3,2,3500007100-3500058900,61
3,3,3500007100-3500058900,38
3,4,3500007100-3500058900,44
3,5,3500007100-3500058900,66
3,6,3500007100-3500058900,414
3,7,3500007100-3500058900,383
3,8,3500007100-3500058900,819
3,9,3500007100-3500058900,752
3,10,3500007100-3500058900,670
3,11,3500007100-3500058900,705
3,12,3500007100-3500058900,623
3,13,3500007100-3500058900,667
3,14,3500007100-3500058900,678
3,15,3500007100-3500058900,698
3,16,3500007100-3500058900,744
3,17,3500007100-3500058900,798
3,18,3500007100-3500058900,748
3,19,3500007100-3500058900,415
3,20,3500007100-3500058900,369
3,21,3500007100-3500058900,294
3,22,3500007100-3500058900,212
3,23,3500007100-3500058900,0
4,0,3500007500-3500007400,74
4,1,3500007500-3500007400,53
4,2,3500007500-3500007400,47
4,3,3500007500-3500007400,41
4,4,3500007500-3500007400,78
4,5,3500007500-3500007400,444
4,6,3500007500-3500007400,1339
4,7,3500007500-3500007400,1174
4,8,3500007500-3500007400,1311
4,9,3500007500-3500007400,1003
4,10,3500007500-3500007400,900
4,11,3500007500-3500007400,883
4,12,3500007500-3500007400,787
4,13,3500007500-3500007400,895
4,14,3500007500-3500007400,874
4,15,3500007500-3500007400,881
4,16,3500007500-3500007400,921
4,17,3500007500-3500007400,1126
4,18,3500007500-3500007400,1086
4,19,3500007500-3500007400,655
4,20,3500007500-3500007400,449
4,21,3500007500-3500007400,406
4,22,3500007500-3500007400,307
4,23,3500007500-3500007400,163
4,0,3500007400-3500007100,74
4,1,3500007400-3500007100,53
4,2,3500007400-3500007100,47
4,3,3500007400-3500007100,41
4,4,3500007400-3500007100,78
4,5,3500007400-3500007100,444
4,6,3500007400-3500007100,1339
4,7,3500007400-3500007100,1174
4,8,3500007400-3500007100,1311
4,9,3500007400-3500007100,1003
4,10,3500007400-3500007100,900
4,11,3500007400-3500007100,883
4,12,3500007400-3500007100,787
4,13,3500007400-3500007100,895
4,14,3500007400-3500007100,874
4,15,3500007400-3500007100,881
4,16,3500007400-3500007100,921
4,17,3500007400-3500007100,1126
4,18,3500007400-3500007100,1086
4,19,3500007400-3500007100,655
4,20,3500007400-3500007100,449
4,21,3500007400-3500007100,406
4,22,3500007400-3500007100,307
4,23,3500007400-3500007100,163
4,0,3500007100-3500007400,88
4,1,3500007100-3500007400,70
4,2,3500007100-3500007400,62
4,3,3500007100-3500007400,45
4,4,3500007100-3500007400,58
4,5,3500007100-3500007400,97
4,6,3500007100-3500007400,428
4,7,3500007100-3500007400,766
4,8,3500007100-3500007400,933
4,9,3500007100-3500007400,879
4,10,3500007100-3500007400,975
4,11,3500007100-3500007400,992
4,12,3500007100-3500007400,977
4,13,3500007100-3500007400,1010
4,14,3500007100-3500007400,1054
4,15,3500007100-3500007400,977
4,16,3500007100-3500007400,1294
4,17,3500007100-3500007400,1573
4,18,3500007100-3500007400,1494
4,19,3500007100-3500007400,802
4,20,3500007100-3500007400,530
4,21,3500007100-3500007400,424
4,22,3500007100-3500007400,256
4,23,3500007100-3500007400,188
4,0,3500007400-3500007500,88
4,1,3500007400-3500007500,70
4,2,3500007400-3500007500,62
4,3,3500007400-3500007500,45
4,4,3500007400-3500007500,58
4,5,3500007400-3500007500,97
4,6,3500007400-3500007500,428
4,7,3500007400-3500007500,766
4,8,3500007400-3500007500,933
4,9,3500007400-3500007500,879
4,10,3500007400-3500007500,975
4,11,3500007400-3500007500,992
4,12,3500007400-3500007500,977
4,13,3500007400-3500007500,1010
4,14,3500007400-3500007500,1054
4,15,3500007400-3500007500,977
4,16,3500007400-3500007500,1294
4,17,3500007400-3500007500,1573
4,18,3500007400-3500007500,1494
4,19,3500007400-3500007500,802
4,20,3500007400-3500007500,530
4,21,3500007400-3500007500,424
4,22,3500007400-3500007500,256
4,23,3500007400-3500007500,188
4,0,3500006900-3500007100,59
4,1,3500006900-3500007100,47
4,2,3500006900-3500007100,34
4,3,3500006900-3500007100,25
4,4,3500006900-3500007100,38
4,5,3500006900-3500007100,68
4,6,3500006900-3500007100,366
4,7,3500006900-3500007100,712
4,8,3500006900-3500007100,772
4,9,3500006900-3500007100,761
4,10,3500006900-3500007100,824
4,11,3500006900-3500007100,898
4,12,3500006900-3500007100,931
4,13,3500006900-3500007100,926
4,14,3500006900-3500007100,926
4,15,3500006900-3500007100,960
4,16,3500006900-3500007100,1178
4,17,3500006900-3500007100,1424
4,18,3500006900-3500007100,1300
4,19,3500006900-3500007100,680
4,20,3500006900-3500007100,423
4,21,3500006900-3500007100,340
4,22,3500006900-3500007100,175
4,23,3500006900-3500007100,153
4,0,3500007100-3500006900,87
4,1,3500007100-3500006900,51
4,2,3500007100-3500006900,48
4,3,3500007100-3500006900,47
4,4,3500007100-3500006900,95
4,5,3500007100-3500006900,545
4,6,3500007100-3500006900,1935
4,7,3500007100-3500006900,1716
4,8,3500007100-3500006900,1340
4,9,3500007100-3500006900,1060
4,10,3500007100-3500006900,862
4,11,3500007100-3500006900,779
4,12,3500007100-3500006900,808
4,13,3500007100-3500006900,892
4,14,3500007100-3500006900,835
4,15,3500007100-3500006900,801
4,16,3500007100-3500006900,773
4,17,3500007100-3500006900,934
4,18,3500007100-3500006900,909
