road,year,month,day,interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
희망대로,2023,4,28,대잠사거리 > 한전사거리,141,88,49,55,78,330,1032,1011,451,589,743,850,1000,982,892,711,732,933,791,651,531,444,286,0
희망대로,2023,4,28,한전사거리 > 대잠사거리,135,100,70,64,52,147,320,334,399,772,1001,902,799,773,849,885,1072,1016,764,608,390,250,160,0
희망대로,2023,4,28,섬안사거리 > 한전사거리,92,60,43,34,37,134,267,261,321,666,932,779,736,662,734,770,1000,872,654,489,269,185,120,0
희망대로,2023,4,28,한전사거리 > 섬안사거리,111,74,36,50,66,369,1232,1137,511,565,646,595,807,784,684,535,541,679,607,443,378,319,233,0
희망대로,2023,4,28,시외버스터미널 > 한전사거리,211,166,135,110,77,206,547,491,428,530,597,632,661,724,716,659,640,735,685,544,492,341,280,0
희망대로,2023,4,28,한전사거리 > 시외버스터미널,202,159,123,93,71,157,505,515,450,568,724,785,824,793,837,774,848,892,800,675,540,431,310,0
희망대로,2023,4,29,대잠사거리 > 한전사거리,109,72,49,53,86,559,1593,1461,1603,1108,1040,999,976,1084,1024,1006,959,1199,1147,652,462,398,308,0
희망대로,2023,4,29,한전사거리 > 대잠사거리,83,51,46,33,64,140,398,658,927,891,889,957,911,901,953,1039,1180,1587,1429,733,361,325,259,0
희망대로,2023,4,29,섬안사거리 > 한전사거리,58,39,33,23,48,104,361,630,787,751,732,894,801,837,851,988,1065,1408,1257,605,308,236,180,0
희망대로,2023,4,29,한전사거리 > 섬안사거리,80,50,38,45,82,585,2014,1622,1341,954,866,785,856,927,817,775,740,846,824,461,309,345,228,0
희망대로,2023,4,29,시외버스터미널 > 한전사거리,126,76,78,58,68,270,1076,989,788,792,784,758,834,790,728,739,756,705,728,522,444,417,314,0
희망대로,2023,4,29,한전사거리 > 시외버스터미널,149,93,68,51,72,229,736,732,1177,998,909,1000,889,993,1051,1019,1053,1139,979,660,534,416,328,0
희망대로,2023,4,30,대잠사거리 > 한전사거리,101,77,56,51,94,558,1579,1483,1512,1090,1042,1085,967,1146,1067,1016,1009,1167,1209,712,599,449,331,0
희망대로,2023,4,30,한전사거리 > 대잠사거리,100,69,55,51,62,156,407,758,871,851,851,998,947,1003,1012,1077,1171,1550,1479,805,482,350,241,0
