road,year,month,day,interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
포스코대로,2023,4,6,여성병원 > 5호광장,200,181,136,92,155,346,854,895,1195,1150,1246,1160,1275,1355,1278,1169,1195,1231,1036,769,639,554,473,0
포스코대로,2023,4,6,5호광장 > 여성병원,171,122,92,84,70,162,512,707,751,843,834,839,1030,986,957,1084,1089,1044,920,736,526,399,285,0
포스코대로,2023,4,6,시외버스터미널방면 > 5호광장,200,185,157,129,108,105,234,308,408,499,541,595,581,526,541,509,538,570,531,351,334,284,239,0
포스코대로,2023,4,6,5호광장 > 시외버스터미널방면,146,141,114,76,100,79,196,275,446,479,526,627,638,580,624,592,588,565,540,376,330,247,225,0
포스코대로,2023,4,6,방장산터널 > 이동농협사거리,144,115,80,54,78,151,386,614,831,940,1058,1053,1193,1157,1029,992,982,926,903,657,464,349,275,0
포스코대로,2023,4,6,이동농협사거리 > 방장산터널,143,122,58,42,58,75,177,300,548,581,586,724,822,798,726,689,744,710,666,482,389,354,258,0
포스코대로,2023,4,6,제철고 > 이동사거리,86,72,24,19,61,157,250,342,671,748,706,740,793,767,710,740,757,713,716,400,335,256,174,0
포스코대로,2023,4,6,이동사거리 > 제철고,23,22,15,5,13,20,72,128,134,147,155,182,177,182,160,187,167,184,167,212,124,92,54,0
포스코대로,2023,4,6,S병원 > 이동사거리,112,93,37,39,47,135,358,475,668,646,777,905,974,921,894,917,855,977,890,686,533,401,314,0
포스코대로,2023,4,6,이동사거리 > S병원,127,64,37,43,99,201,389,562,803,1023,1025,945,1163,1200,1222,1264,1154,1045,980,636,522,459,283,0
포스코대로,2023,4,6,중앙하이츠 > 이동사거리,111,69,52,37,74,147,340,543,666,864,927,904,1105,1088,1051,1122,1030,995,973,804,577,496,304,0
포스코대로,2023,4,6,이동사거리 > 중앙하이츠,142,106,47,37,70,219,507,599,842,864,954,1052,1145,1096,1014,1010,939,1089,1018,748,578,471,347,0
포스코대로,2023,4,7,포스코본사 > 현대제철,354,251,220,150,149,283,679,904,763,901,1082,1283,1472,1684,1807,2034,2062,1815,1756,1422,1004,647,566,319
포스코대로,2023,4,7,현대제철 > 포스코본사,326,268,173,157,171,489,841,748,722,919,1076,1054,1037,1251,1244,1261,1146,1422,1141,953,826,689,501,279
포스코대로,2023,4,7,포항운하관 > 형산오거리,18,13,12,9,3,37,49,31,44,44,75,103,99,150,149,148,128,121,99,39,34,38,22,9
포스코대로,2023,4,7,형산오거리 > 포항운하관,0,0,0,0,1,3,17,10,24,10,12,7,5,4,4,7,9,7,7,9,11,4,1,0
포스코대로,2023,4,7,남구청 > 형산오거리,22,13,14,8,10,28,55,56,63,84,109,177,196,223,300,282,242,220,211,151,135,95,47,33
포스코대로,2023,4,7,형산오거리 > 남구청,24,24,31,21,18,59,150,152,108,170,194,234,235,304,324,385,363,340,315,211,115,85,64,58
포스코대로,2023,4,7,KT포항지사 > 형산오거리,14,11,3,5,4,39,118,55,88,83,117,139,127,118,87,102,53,48,47,40,35,26,33,12
포스코대로,2023,4,7,형산오거리 > KT포항지사,129,81,78,39,43,94,198,355,183,265,295,343,388,484,547,625,641,603,656,629,379,227,187,129
포스코대로,2023,4,7,형산오거리 > 포스코1문,62,48,36,24,30,97,190,100,114,171,260,387,438,471,448,462,389,328,317,156,158,134,106,47
포스코대로,2023,4,7,등외과사거리 > 오거리,0,0,0,1,1,6,21,12,26,12,16,8,6,6,6,8,12,8,9,9,13,5,2,0
포스코대로,2023,4,7,오거리 > 등외과사거리,133,83,77,54,55,85,187,170,169,145,250,412,465,468,594,610,553,546,516,362,298,214,162,141
포스코대로,2023,4,7,여성병원 > 5호광장,205,171,102,94,105,296,547,508,599,680,870,842,940,924,1039,995,1018,1058,962,724,646,461,391,211
포스코대로,2023,4,7,5호광장 > 여성병원,182,117,92,78,68,129,325,504,362,412,475,582,634,701,789,863,832,837,845,682,493,304,255,181
포스코대로,2023,4,7,시외버스터미널방면 > 5호광장,208,181,165,135,79,84,155,180,219,249,327,423,470,474,453,453,449,471,429,344,273,258,206,157
포스코대로,2023,4,7,5호광장 > 시외버스터미널방면,126,116,85,74,56,75,134,154,183,253,385,488,536,517,495,516,471,499,455,352,311,262,181,136
포스코대로,2023,4,7,방장산터널 > 이동농협사거리,130,102,63,64,36,102,248,398,397,540,657,837,855,942,802,860,810,799,764,572,492,277,229,137
포스코대로,2023,4,7,이동농협사거리 > 방장산터널,120,86,56,45,39,58,132,182,236,360,459,486,558,567,615,572,629,677,588,459,438,300,230,139
포스코대로,2023,4,7,제철고 > 이동사거리,72,54,24,18,17,129,175,207,270,438,492,496,489,623,599,582,604,583,602,442,419,234,191,88
포스코대로,2023,4,7,이동사거리 > 제철고,29,13,9,5,1,17,46,117,88,108,97,112,98,134,109,151,154,150,157,202,108,87,57,38
포스코대로,2023,4,7,S병원 > 이동사거리,80,59,33,20,37,79,186,246,319,444,564,707,723,871,861,875,883,953,876,696,627,434,326,193
포스코대로,2023,4,7,이동사거리 > S병원,123,60,29,32,31,116,278,382,533,789,806,873,770,952,1017,1031,984,857,867,662,478,350,266,132
포스코대로,2023,4,7,중앙하이츠 > 이동사거리,120,68,33,29,31,87,231,399,456,639,627,678,679,820,827,920,915,867,851,761,487,382,255,138
포스코대로,2023,4,7,이동사거리 > 중앙하이츠,108,82,35,31,41,160,272,311,396,525,645,739,765,969,935,855,900,956,960,703,638,442,330,191
포스코대로,2023,4,8,포스코본사 > 현대제철,218,153,130,102,168,389,1004,1611,1911,1564,1449,1628,1473,1853,1771,1961,2448,2623,2520,1534,1030,814,676,0
포스코대로,2023,4,8,현대제철 > 포스코본사,199,130,111,83,183,827,2295,2435,1859,1392,1499,1505,1550,1511,1487,1434,1550,1512,1513,913,757,751,573,0
포스코대로,2023,4,8,포항운하관 > 형산오거리,55,22,35,28,59,314,1011,1113,542,383,613,597,699,713,804,670,676,713,656,217,189,216,180,0
포스코대로,2023,4,8,형산오거리 > 포항운하관,0,0,0,0,1,7,32,23,22,17,12,9,10,6,10,10,10,14,12,4,10,1,1,0
포스코대로,2023,4,8,남구청 > 형산오거리,20,17,5,9,17,27,126,160,275,220,258,279,279,301,301,354,387,437,375,151,120,100,56,0
포스코대로,2023,4,8,형산오거리 > 남구청,35,13,12,14,11,61,119,221,252,280,250,292,237,331,281,332,454,587,480,212,94,112,69,0
포스코대로,2023,4,8,KT포항지사 > 형산오거리,11,6,3,1,6,81,275,229,148,158,195,190,161,160,166,150,168,177,130,35,40,43,36,0
포스코대로,2023,4,8,형산오거리 > KT포항지사,83,43,37,26,42,109,278,589,734,549,567,573,482,644,715,755,930,1289,1185,742,407,307,283,0
포스코대로,2023,4,8,형산오거리 > 포스코1문,10,4,2,0,7,86,305,244,140,144,171,170,149,134,145,134,154,163,126,29,47,39,34,0
포스코대로,2023,4,8,등외과사거리 > 오거리,0,0,0,0,1,8,32,27,25,24,14,11,13,9,11,11,15,19,16,5,10,3,1,0
포스코대로,2023,4,8,오거리 > 등외과사거리,83,73,38,30,53,98,269,349,509,439,537,609,596,620,620,699,821,1052,902,429,285,283,207,0
포스코대로,2023,4,8,여성병원 > 5호광장,133,88,48,73,135,512,1375,1441,1879,1367,1293,1254,1222,1227,1272,1230,1275,1428,1209,743,578,554,491,0
포스코대로,2023,4,8,5호광장 > 여성병원,96,69,43,42,52,189,652,890,1137,908,1016,1002,1048,1082,1127,1224,1391,1656,1545,938,574,493,394,0
포스코대로,2023,4,8,시외버스터미널방면 > 5호광장,124,112,64,57,54,97,272,363,623,502,534,634,564,589,619,692,681,758,708,420,287,319,230,0
포스코대로,2023,4,8,5호광장 > 시외버스터미널방면,76,68,40,32,74,83,254,354,569,485,534,661,548,560,634,649,633,725,666,386,293,274,225,0
포스코대로,2023,4,8,방장산터널 > 이동농협사거리,75,50,32,37,72,151,491,880,1247,925,868,836,910,920,894,1037,1131,1183,1251,688,496,422,340,0
포스코대로,2023,4,8,이동농협사거리 > 방장산터널,74,47,21,24,61,119,272,506,969,694,603,669,626,582,668,713,732,833,711,421,416,401,329,0
