date,time,road,speed
10,6,3500007700-3500056400,44
10,7,3500007700-3500056400,38
10,8,3500007700-3500056400,39
10,9,3500007700-3500056400,41
10,10,3500007700-3500056400,36
10,11,3500007700-3500056400,34
10,12,3500007700-3500056400,35
10,13,3500007700-3500056400,38
10,14,3500007700-3500056400,0
10,15,3500007700-3500056400,38
10,16,3500007700-3500056400,38
10,17,3500007700-3500056400,36
10,18,3500007700-3500056400,33
10,19,3500007700-3500056400,39
10,20,3500007700-3500056400,41
10,21,3500007700-3500056400,40
10,22,3500007700-3500056400,41
10,23,3500007700-3500056400,43
10,0,3500007700-3500081900,44
10,1,3500007700-3500081900,46
10,2,3500007700-3500081900,47
10,3,3500007700-3500081900,44
10,4,3500007700-3500081900,44
10,5,3500007700-3500081900,44
10,6,3500007700-3500081900,44
10,7,3500007700-3500081900,38
10,8,3500007700-3500081900,39
10,9,3500007700-3500081900,41
10,10,3500007700-3500081900,36
10,11,3500007700-3500081900,34
10,12,3500007700-3500081900,35
10,13,3500007700-3500081900,38
10,14,3500007700-3500081900,0
10,15,3500007700-3500081900,38
10,16,3500007700-3500081900,38
10,17,3500007700-3500081900,36
10,18,3500007700-3500081900,33
10,19,3500007700-3500081900,39
10,20,3500007700-3500081900,41
10,21,3500007700-3500081900,40
10,22,3500007700-3500081900,41
10,23,3500007700-3500081900,43
11,0,3500007700-3500056400,48
11,1,3500007700-3500056400,50
11,2,3500007700-3500056400,50
11,3,3500007700-3500056400,51
11,4,3500007700-3500056400,48
11,5,3500007700-3500056400,46
11,6,3500007700-3500056400,41
11,7,3500007700-3500056400,27
11,8,3500007700-3500056400,35
11,9,3500007700-3500056400,35
11,10,3500007700-3500056400,38
11,11,3500007700-3500056400,37
11,12,3500007700-3500056400,33
11,13,3500007700-3500056400,35
11,14,3500007700-3500056400,0
11,15,3500007700-3500056400,36
11,16,3500007700-3500056400,36
11,17,3500007700-3500056400,35
11,18,3500007700-3500056400,36
11,19,3500007700-3500056400,39
11,20,3500007700-3500056400,42
11,21,3500007700-3500056400,40
11,22,3500007700-3500056400,40
11,23,3500007700-3500056400,42
11,0,3500007700-3500081900,48
11,1,3500007700-3500081900,50
11,2,3500007700-3500081900,50
11,3,3500007700-3500081900,51
11,4,3500007700-3500081900,48
11,5,3500007700-3500081900,46
11,6,3500007700-3500081900,41
11,7,3500007700-3500081900,27
11,8,3500007700-3500081900,35
11,9,3500007700-3500081900,35
11,10,3500007700-3500081900,38
11,11,3500007700-3500081900,37
11,12,3500007700-3500081900,33
11,13,3500007700-3500081900,35
11,14,3500007700-3500081900,0
11,15,3500007700-3500081900,36
11,16,3500007700-3500081900,36
11,17,3500007700-3500081900,35
11,18,3500007700-3500081900,36
11,19,3500007700-3500081900,39
11,20,3500007700-3500081900,42
11,21,3500007700-3500081900,40
11,22,3500007700-3500081900,40
11,23,3500007700-3500081900,42
12,0,3500007700-3500056400,46
12,1,3500007700-3500056400,46
12,2,3500007700-3500056400,45
12,3,3500007700-3500056400,47
12,4,3500007700-3500056400,46
12,5,3500007700-3500056400,45
12,6,3500007700-3500056400,37
12,7,3500007700-3500056400,30
12,8,3500007700-3500056400,36
12,9,3500007700-3500056400,37
12,10,3500007700-3500056400,40
12,11,3500007700-3500056400,35
12,12,3500007700-3500056400,37
12,13,3500007700-3500056400,37
12,14,3500007700-3500056400,0
12,15,3500007700-3500056400,34
12,16,3500007700-3500056400,36
